Speaker,Word,Gram,Log_Freq,DepVar
s19,perturbed,p,0,1
s10,grabbed,p,0.693147180559945,1
s11,grabbed,p,0.693147180559945,1
s23,robbed,p,1.38629436111989,1
s21,robbed,p,1.38629436111989,1
s14,rubbed,p,0.693147180559945,1
s22,rubbed,p,0.693147180559945,1
s02,scrubbed,p,0,0
s22,described,p,0,0
s23,robbed,p,1.38629436111989,1
s13,cubed,p,0,1
s23,robbed,p,1.38629436111989,1
s37,barbed,p,0,0
s30,watched,p,2.07944154167984,0
s34,touched,p,1.6094379124341,0
s01,watched,p,2.07944154167984,1
s10,reached,p,1.09861228866811,1
s09,watched,p,2.07944154167984,1
s01,attached,p,0,1
s06,touched,p,1.6094379124341,1
s35,switched,p,1.09861228866811,1
s19,entrenched,p,0,0
s22,hitched,p,0,0
s11,watched,p,2.07944154167984,1
s38,watched,p,2.07944154167984,1
s27,preached,p,0,0
s10,marched,p,0,0
s03,touched,p,1.6094379124341,1
s07,switched,p,1.09861228866811,1
s39,approached,p,0.693147180559945,0
s19,touched,p,1.6094379124341,0
s05,approached,p,0.693147180559945,0
s33,watched,p,2.07944154167984,0
s33,watched,p,2.07944154167984,1
s15,switched,p,1.09861228866811,0
s13,scratched,p,0,1
s36,reached,p,1.09861228866811,1
s13,touched,p,1.6094379124341,0
s06,watched,p,2.07944154167984,1
s33,reached,p,1.09861228866811,1
s13,breathed,p,0,1
s16,disabled,p,1.09861228866811,1
s16,scrambled,p,0,1
s19,troubled,p,1.09861228866811,1
s31,difficult,m,3.36729582998647,1
s12,difficult,m,3.36729582998647,1
s29,disabled,p,1.09861228866811,1
s32,traveled,p,0.693147180559945,1
s19,struggled,p,0.693147180559945,1
s29,crippled,p,0.693147180559945,1
s13,difficult,m,3.36729582998647,1
s17,difficult,m,3.36729582998647,1
s14,difficult,m,3.36729582998647,1
s20,difficult,m,3.36729582998647,1
s09,difficult,m,3.36729582998647,1
s13,difficult,m,3.36729582998647,1
s35,difficult,m,3.36729582998647,1
s19,difficult,m,3.36729582998647,1
s08,shoveled,p,0,1
s27,difficult,m,3.36729582998647,1
s15,stumbled,p,0,1
s34,settled,p,1.94591014905531,1
s39,difficult,m,3.36729582998647,1
s19,troubled,p,1.09861228866811,0
s29,disabled,p,1.09861228866811,1
s16,handled,p,0,1
s40,difficult,m,3.36729582998647,0
s17,difficult,m,3.36729582998647,1
s34,traveled,p,0.693147180559945,1
s39,difficult,m,3.36729582998647,1
s07,bottled,p,0,0
s09,difficult,m,3.36729582998647,1
s13,difficult,m,3.36729582998647,1
s35,difficult,m,3.36729582998647,1
s09,difficult,m,3.36729582998647,1
s16,settled,p,1.94591014905531,1
s01,settled,p,1.94591014905531,1
s13,difficult,m,3.36729582998647,1
s35,difficult,m,3.36729582998647,1
s35,difficult,m,3.36729582998647,1
s14,difficult,m,3.36729582998647,1
s15,settled,p,1.94591014905531,1
s13,difficult,m,3.36729582998647,1
s38,settled,p,1.94591014905531,1
s29,crippled,p,0.693147180559945,1
s35,difficult,m,3.36729582998647,1
s35,sampled,p,0,1
s35,difficult,m,3.36729582998647,1
s32,labeled,p,0,1
s19,troubled,p,1.09861228866811,1
s01,settled,p,1.94591014905531,1
s17,struggled,p,0.693147180559945,1
s34,singled,p,0,1
s12,difficult,m,3.36729582998647,1
s40,difficult,m,3.36729582998647,1
s40,difficult,m,3.36729582998647,1
s24,rivalled,p,0,1
s28,settled,p,1.94591014905531,1
s30,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s23,didn't,n,6.23832462503951,1
s18,didn't,n,6.23832462503951,0
s32,didn't,n,6.23832462503951,1
s35,didn't,n,6.23832462503951,0
s12,didn't,n,6.23832462503951,1
s14,consultant,m,0.693147180559945,1
s33,didn't,n,6.23832462503951,0
s13,couldn't,n,4.39444915467244,0
s13,shouldn't,n,3.87120101090789,0
s10,student,m,3.76120011569356,0
s15,didn't,n,6.23832462503951,0
s25,didn't,n,6.23832462503951,1
s14,couldn't,n,4.39444915467244,0
s19,important,m,3.8286413964891,0
s17,hardened,p,0,0
s19,didn't,n,6.23832462503951,0
s16,didn't,n,6.23832462503951,0
s33,didn't,n,6.23832462503951,1
s14,consultant,m,0.693147180559945,0
s07,didn't,n,6.23832462503951,0
s07,wouldn't,n,5.11198778835654,0
s36,didn't,n,6.23832462503951,0
s18,didn't,n,6.23832462503951,1
s40,wouldn't,n,5.11198778835654,0
s27,didn't,n,6.23832462503951,0
s37,didn't,n,6.23832462503951,0
s12,didn't,n,6.23832462503951,0
s01,hadn't,n,3.04452243772342,0
s18,didn't,n,6.23832462503951,0
s16,student,m,3.76120011569356,1
s19,student,m,3.76120011569356,0
s11,didn't,n,6.23832462503951,0
s07,shouldn't,n,3.87120101090789,1
s02,wouldn't,n,5.11198778835654,0
s26,didn't,n,6.23832462503951,1
s03,didn't,n,6.23832462503951,0
s29,didn't,n,6.23832462503951,0
s10,didn't,n,6.23832462503951,0
s07,didn't,n,6.23832462503951,0
s30,didn't,n,6.23832462503951,1
s17,didn't,n,6.23832462503951,0
s16,student,m,3.76120011569356,1
s16,shouldn't,n,3.87120101090789,1
s07,shouldn't,n,3.87120101090789,0
s12,wouldn't,n,5.11198778835654,1
s16,wouldn't,n,5.11198778835654,0
s39,wouldn't,n,5.11198778835654,0
s30,wouldn't,n,5.11198778835654,0
s02,couldn't,n,4.39444915467244,0
s04,didn't,n,6.23832462503951,0
s11,didn't,n,6.23832462503951,0
s34,didn't,n,6.23832462503951,0
s15,hadn't,n,3.04452243772342,0
s35,couldn't,n,4.39444915467244,0
s09,didn't,n,6.23832462503951,1
s14,shouldn't,n,3.87120101090789,0
s38,didn't,n,6.23832462503951,1
s15,wouldn't,n,5.11198778835654,0
s25,didn't,n,6.23832462503951,0
s16,wouldn't,n,5.11198778835654,0
s12,wouldn't,n,5.11198778835654,0
s19,didn't,n,6.23832462503951,0
s20,important,m,3.8286413964891,1
s02,didn't,n,6.23832462503951,1
s07,important,m,3.8286413964891,0
s38,couldn't,n,4.39444915467244,0
s02,didn't,n,6.23832462503951,0
s19,shouldn't,n,3.87120101090789,0
s04,didn't,n,6.23832462503951,0
s22,didn't,n,6.23832462503951,1
s08,didn't,n,6.23832462503951,1
s15,wouldn't,n,5.11198778835654,0
s22,didn't,n,6.23832462503951,0
s12,student,m,3.76120011569356,0
s28,wouldn't,n,5.11198778835654,0
s14,didn't,n,6.23832462503951,0
s30,didn't,n,6.23832462503951,1
s14,didn't,n,6.23832462503951,0
s36,didn't,n,6.23832462503951,0
s40,didn't,n,6.23832462503951,0
s04,didn't,n,6.23832462503951,0
s25,couldn't,n,4.39444915467244,0
s14,didn't,n,6.23832462503951,1
s33,shouldn't,n,3.87120101090789,0
s18,didn't,n,6.23832462503951,0
s07,wouldn't,n,5.11198778835654,1
s31,couldn't,n,4.39444915467244,1
s12,important,m,3.8286413964891,1
s07,didn't,n,6.23832462503951,0
s26,couldn't,n,4.39444915467244,0
s28,didn't,n,6.23832462503951,1
s31,didn't,n,6.23832462503951,0
s22,didn't,n,6.23832462503951,0
s16,didn't,n,6.23832462503951,0
s03,didn't,n,6.23832462503951,0
s18,didn't,n,6.23832462503951,0
s27,didn't,n,6.23832462503951,1
s27,didn't,n,6.23832462503951,0
s13,couldn't,n,4.39444915467244,0
s35,didn't,n,6.23832462503951,0
s11,wouldn't,n,5.11198778835654,0
s33,important,m,3.8286413964891,0
s16,student,m,3.76120011569356,0
s01,didn't,n,6.23832462503951,1
s16,didn't,n,6.23832462503951,0
s07,important,m,3.8286413964891,0
s14,didn't,n,6.23832462503951,0
s36,didn't,n,6.23832462503951,0
s39,didn't,n,6.23832462503951,1
s40,wouldn't,n,5.11198778835654,0
s18,didn't,n,6.23832462503951,0
s35,didn't,n,6.23832462503951,0
s19,important,m,3.8286413964891,0
s31,didn't,n,6.23832462503951,1
s10,couldn't,n,4.39444915467244,0
s18,didn't,n,6.23832462503951,1
s15,wouldn't,n,5.11198778835654,0
s27,wouldn't,n,5.11198778835654,1
s14,wouldn't,n,5.11198778835654,1
s27,didn't,n,6.23832462503951,1
s04,didn't,n,6.23832462503951,0
s37,student,m,3.76120011569356,0
s17,shouldn't,n,3.87120101090789,0
s18,didn't,n,6.23832462503951,0
s27,didn't,n,6.23832462503951,0
s04,shouldn't,n,3.87120101090789,0
s04,wouldn't,n,5.11198778835654,0
s16,didn't,n,6.23832462503951,0
s25,didn't,n,6.23832462503951,0
s04,didn't,n,6.23832462503951,0
s36,important,m,3.8286413964891,1
s35,important,m,3.8286413964891,1
s27,didn't,n,6.23832462503951,0
s31,didn't,n,6.23832462503951,0
s35,didn't,n,6.23832462503951,1
s04,shouldn't,n,3.87120101090789,0
s19,wouldn't,n,5.11198778835654,0
s12,shouldn't,n,3.87120101090789,0
s08,shouldn't,n,3.87120101090789,0
s29,couldn't,n,4.39444915467244,0
s12,wouldn't,n,5.11198778835654,0
s07,wouldn't,n,5.11198778835654,0
s18,wouldn't,n,5.11198778835654,0
s30,didn't,n,6.23832462503951,0
s28,wouldn't,n,5.11198778835654,0
s19,important,m,3.8286413964891,0
s38,wouldn't,n,5.11198778835654,0
s17,threatened,p,1.6094379124341,1
s29,wouldn't,n,5.11198778835654,0
s12,didn't,n,6.23832462503951,0
s09,wouldn't,n,5.11198778835654,1
s35,didn't,n,6.23832462503951,1
s39,didn't,n,6.23832462503951,0
s04,didn't,n,6.23832462503951,0
s35,didn't,n,6.23832462503951,0
s19,didn't,n,6.23832462503951,0
s39,didn't,n,6.23832462503951,0
s29,couldn't,n,4.39444915467244,0
s31,didn't,n,6.23832462503951,0
s11,didn't,n,6.23832462503951,1
s24,wouldn't,n,5.11198778835654,1
s27,wouldn't,n,5.11198778835654,0
s13,didn't,n,6.23832462503951,0
s24,wouldn't,n,5.11198778835654,0
s39,didn't,n,6.23832462503951,1
s07,couldn't,n,4.39444915467244,0
s11,wouldn't,n,5.11198778835654,0
s18,didn't,n,6.23832462503951,0
s37,wouldn't,n,5.11198778835654,0
s31,didn't,n,6.23832462503951,0
s02,didn't,n,6.23832462503951,0
s01,didn't,n,6.23832462503951,0
s18,didn't,n,6.23832462503951,0
s01,didn't,n,6.23832462503951,0
s08,wouldn't,n,5.11198778835654,0
s35,didn't,n,6.23832462503951,0
s14,important,m,3.8286413964891,0
s16,didn't,n,6.23832462503951,0
s35,didn't,n,6.23832462503951,0
s05,didn't,n,6.23832462503951,1
s14,didn't,n,6.23832462503951,0
s36,shouldn't,n,3.87120101090789,0
s23,couldn't,n,4.39444915467244,0
s01,didn't,n,6.23832462503951,1
s27,student,m,3.76120011569356,1
s14,wouldn't,n,5.11198778835654,1
s31,couldn't,n,4.39444915467244,1
s27,student,m,3.76120011569356,1
s10,didn't,n,6.23832462503951,0
s10,didn't,n,6.23832462503951,0
s27,didn't,n,6.23832462503951,0
s32,important,m,3.8286413964891,1
s02,didn't,n,6.23832462503951,0
s23,student,m,3.76120011569356,1
s10,student,m,3.76120011569356,0
s23,important,m,3.8286413964891,0
s19,student,m,3.76120011569356,0
s14,didn't,n,6.23832462503951,0
s07,didn't,n,6.23832462503951,0
s21,didn't,n,6.23832462503951,1
s31,didn't,n,6.23832462503951,0
s32,didn't,n,6.23832462503951,0
s40,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s16,didn't,n,6.23832462503951,1
s36,shouldn't,n,3.87120101090789,0
s12,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s36,didn't,n,6.23832462503951,1
s14,didn't,n,6.23832462503951,1
s04,didn't,n,6.23832462503951,1
s16,didn't,n,6.23832462503951,1
s28,didn't,n,6.23832462503951,1
s40,didn't,n,6.23832462503951,0
s25,didn't,n,6.23832462503951,0
s06,didn't,n,6.23832462503951,1
s31,didn't,n,6.23832462503951,0
s16,wouldn't,n,5.11198778835654,0
s08,didn't,n,6.23832462503951,1
s25,didn't,n,6.23832462503951,1
s37,student,m,3.76120011569356,1
s14,didn't,n,6.23832462503951,1
s09,shouldn't,n,3.87120101090789,0
s13,didn't,n,6.23832462503951,0
s23,didn't,n,6.23832462503951,1
s12,important,m,3.8286413964891,0
s16,wouldn't,n,5.11198778835654,1
s40,wouldn't,n,5.11198778835654,0
s05,didn't,n,6.23832462503951,0
s08,didn't,n,6.23832462503951,1
s39,couldn't,n,4.39444915467244,0
s36,didn't,n,6.23832462503951,0
s18,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s30,couldn't,n,4.39444915467244,1
s18,shouldn't,n,3.87120101090789,0
s16,didn't,n,6.23832462503951,0
s04,didn't,n,6.23832462503951,0
s05,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s16,couldn't,n,4.39444915467244,0
s07,wouldn't,n,5.11198778835654,0
s26,couldn't,n,4.39444915467244,0
s21,didn't,n,6.23832462503951,1
s21,didn't,n,6.23832462503951,0
s34,didn't,n,6.23832462503951,1
s31,didn't,n,6.23832462503951,0
s14,couldn't,n,4.39444915467244,0
s05,wouldn't,n,5.11198778835654,0
s04,didn't,n,6.23832462503951,0
s11,didn't,n,6.23832462503951,0
s18,shouldn't,n,3.87120101090789,1
s01,didn't,n,6.23832462503951,0
s13,wouldn't,n,5.11198778835654,0
s37,didn't,n,6.23832462503951,0
s27,didn't,n,6.23832462503951,1
s07,didn't,n,6.23832462503951,0
s02,hadn't,n,3.04452243772342,0
s14,couldn't,n,4.39444915467244,1
s35,wouldn't,n,5.11198778835654,0
s28,didn't,n,6.23832462503951,0
s14,didn't,n,6.23832462503951,1
s19,important,m,3.8286413964891,0
s16,couldn't,n,4.39444915467244,0
s14,wouldn't,n,5.11198778835654,1
s30,student,m,3.76120011569356,0
s15,didn't,n,6.23832462503951,0
s28,didn't,n,6.23832462503951,1
s12,wouldn't,n,5.11198778835654,1
s29,couldn't,n,4.39444915467244,0
s35,wouldn't,n,5.11198778835654,0
s19,student,m,3.76120011569356,1
s09,didn't,n,6.23832462503951,0
s04,didn't,n,6.23832462503951,0
s40,didn't,n,6.23832462503951,0
s19,didn't,n,6.23832462503951,0
s23,didn't,n,6.23832462503951,1
s08,didn't,n,6.23832462503951,1
s29,wouldn't,n,5.11198778835654,0
s08,important,m,3.8286413964891,0
s34,didn't,n,6.23832462503951,1
s13,didn't,n,6.23832462503951,0
s31,couldn't,n,4.39444915467244,1
s36,didn't,n,6.23832462503951,0
s36,wouldn't,n,5.11198778835654,0
s08,wouldn't,n,5.11198778835654,0
s19,didn't,n,6.23832462503951,0
s08,wouldn't,n,5.11198778835654,1
s29,important,m,3.8286413964891,1
s14,wouldn't,n,5.11198778835654,1
s36,didn't,n,6.23832462503951,0
s26,didn't,n,6.23832462503951,0
s39,didn't,n,6.23832462503951,0
s39,important,m,3.8286413964891,1
s04,shouldn't,n,3.87120101090789,1
